run_id,timestep,mean_reward
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,15000,484.4
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,30000,217.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,60000,497.2
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,75000,487.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,90000,450.4
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,105000,478.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,15000,440.4
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,15000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,30000,451.2
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,60000,474.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,75000,478.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,105000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,15000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,15000,354.2
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,30000,442.6
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,45000,252.8
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,90000,408.6
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,15000,242.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,15000,205.2
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,30000,488.6
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,60000,476.6
