run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.99,0.2,184.0,37.9078,150000,661.3,success,,2026-04-19T10:04:48
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s1,CartPole-v1,DQN,1,0.0001,,0.999,0.2,185.3,37.0595,150000,656.6,success,,2026-04-19T10:04:53
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s0,CartPole-v1,DQN,0,0.0001,,0.999,0.2,162.65,13.5583,150000,657.5,success,,2026-04-19T10:04:53
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0003__s0,CartPole-v1,DQN,0,0.0003,,0.99,0.1,207.5,44.0256,150000,660.7,success,,2026-04-19T10:04:54
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s0,CartPole-v1,PPO,0,0.001,2048,0.999,,500.0,0.0,150000,848.1,success,,2026-04-19T10:04:18
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s1,CartPole-v1,PPO,1,0.001,2048,0.999,,500.0,0.0,150000,849.4,success,,2026-04-19T10:04:21
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0003__s1,CartPole-v1,DQN,1,0.0003,,0.99,0.1,125.0,18.4526,150000,644.2,success,,2026-04-19T10:15:40
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0003__s0,CartPole-v1,DQN,0,0.0003,,0.99,0.2,117.2,4.5233,150000,641.3,success,,2026-04-19T10:15:44
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0003__s0,CartPole-v1,DQN,0,0.0003,,0.999,0.1,137.35,15.7552,150000,644.5,success,,2026-04-19T10:15:41
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0003__s1,CartPole-v1,DQN,1,0.0003,,0.999,0.1,112.8,10.7359,150000,643.4,success,,2026-04-19T10:15:44
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0003__s1,CartPole-v1,DQN,1,0.0003,,0.99,0.2,176.4,17.4109,150000,644.2,success,,2026-04-19T10:15:46
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0003__s1,CartPole-v1,DQN,1,0.0003,,0.999,0.2,203.15,36.2688,150000,642.5,success,,2026-04-19T10:15:49
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0003__s0,CartPole-v1,DQN,0,0.0003,,0.999,0.2,161.55,24.332,150000,643.6,success,,2026-04-19T10:15:49
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.001__s0,CartPole-v1,DQN,0,0.001,,0.99,0.1,92.65,1.6815,150000,643.4,success,,2026-04-19T10:15:50
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.001__s1,CartPole-v1,DQN,1,0.001,,0.99,0.1,77.95,6.2648,150000,644.4,success,,2026-04-19T10:15:55
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.001__s0,CartPole-v1,DQN,0,0.001,,0.999,0.1,90.95,2.5588,150000,648.3,success,,2026-04-19T10:18:26
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.001__s1,CartPole-v1,DQN,1,0.001,,0.999,0.1,96.1,3.0806,150000,649.0,success,,2026-04-19T10:18:30
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.001__s0,CartPole-v1,DQN,0,0.001,,0.99,0.2,54.9,18.0552,150000,692.4,success,,2026-04-19T10:26:24
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.001__s1,CartPole-v1,DQN,1,0.001,,0.99,0.2,93.5,3.3541,150000,694.2,success,,2026-04-19T10:26:25
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.001__s0,CartPole-v1,DQN,0,0.001,,0.999,0.2,233.4,232.3055,150000,694.2,success,,2026-04-19T10:26:26
